hh,grp,first_day,last_day,n_days_any,n_days_full,dropped
MAC002000,Std,2012-06-12,2014-02-27,625,602.0,0
MAC002043,Std,2012-06-14,2014-02-27,623,601.0,0
MAC002087,Std,2012-06-15,2014-02-27,622,598.0,0
MAC002090,Std,2012-06-16,2014-02-27,622,599.0,0
MAC002173,Std,2012-06-21,2014-02-27,617,592.0,0
MAC002220,Std,2012-06-29,2014-02-27,607,584.0,0
MAC002309,Std,2012-04-24,2014-02-27,674,648.0,0
MAC002312,Std,2012-04-24,2014-02-27,673,648.0,0
MAC002358,Std,2012-04-27,2014-02-27,671,647.0,0
MAC002388,Std,2012-04-30,2014-02-27,667,642.0,0
MAC002493,Std,2012-07-07,2014-02-27,601,577.0,0
MAC002567,Std,2012-07-09,2013-12-04,514,494.0,0
MAC002612,Std,2012-07-10,2014-02-27,598,575.0,0
MAC002698,Std,2012-05-05,2014-02-27,664,640.0,0
MAC002729,Std,2012-05-08,2014-02-27,659,633.0,0
MAC002920,Std,2012-07-02,2014-02-27,604,579.0,0
MAC002974,Std,2012-07-05,2014-02-13,589,570.0,0
MAC003054,Std,2012-05-15,2014-02-27,652,628.0,0
MAC003184,Std,2012-09-13,2014-02-27,532,511.0,0
MAC003224,Std,2012-09-17,2014-02-27,529,509.0,0
MAC003266,Std,2012-09-20,2014-02-27,526,505.0,0
MAC003271,Std,2012-09-20,2014-02-27,526,508.0,0
MAC003363,Std,2012-09-27,2014-02-27,518,494.0,0
MAC003369,Std,2012-09-27,2014-02-27,516,496.0,0
MAC003540,Std,2012-10-08,2014-02-27,508,487.0,0
MAC003546,Std,2012-10-08,2014-02-27,508,489.0,0
MAC003804,Std,2012-10-22,2014-02-27,493,471.0,0
MAC003944,Std,2012-07-05,2014-02-27,603,581.0,0
MAC003981,Std,2012-07-06,2014-02-27,602,579.0,0
MAC004221,Std,2012-05-23,2014-02-27,646,617.0,0
MAC004269,Std,2012-05-24,2014-02-27,643,620.0,0
MAC004293,Std,2012-05-24,2013-10-21,516,493.0,1
MAC004414,Std,2012-03-19,2014-02-27,709,682.0,0
MAC004812,Std,2012-04-05,2014-02-27,693,664.0,0
MAC004835,Std,2012-04-10,2014-02-27,687,661.0,0
MAC004836,Std,2012-04-10,2014-02-27,689,660.0,0
MAC004915,Std,2012-01-19,2014-02-27,771,744.0,0
MAC004916,Std,2012-01-19,2014-02-27,771,745.0,0
MAC005053,Std,2012-05-29,2014-02-27,639,611.0,0
MAC005154,Std,2012-05-31,2013-11-22,539,519.0,1
MAC005353,Std,2012-02-22,2013-11-22,640,617.0,1
MAC000605,ToU,2012-04-12,2014-02-27,686,660.0,0
MAC000738,ToU,2012-04-19,2013-09-05,505,483.0,1
MAC000801,ToU,2012-04-25,2014-02-27,673,647.0,0
MAC001554,ToU,2012-05-22,2014-02-27,647,619.0,0
MAC001969,ToU,2012-06-11,2014-02-27,627,603.0,0
MAC002226,ToU,2012-04-21,2014-02-27,678,652.0,0
MAC002232,ToU,2012-04-21,2014-02-27,676,650.0,0
MAC002895,ToU,2012-07-02,2014-02-27,604,581.0,0
MAC003669,ToU,2012-10-15,2014-02-05,479,461.0,0
MAC003723,ToU,2012-10-17,2013-09-05,323,309.0,1
MAC003911,ToU,2012-10-26,2014-02-27,486,467.0,0
MAC004263,ToU,2012-05-24,2014-02-27,644,621.0,0
MAC004525,ToU,2011-12-20,2014-02-27,801,766.0,0
MAC004661,ToU,2012-07-12,2014-02-27,596,573.0,0
MAC005134,ToU,2012-05-31,2014-02-27,637,613.0,0
