d,hhod,Std,ToU,signal,y,high,low
2013-03-18,9,0.13673881812178695,0.12263851045173246,low,-0.10883158040387197,0.0,1.0
2013-03-18,10,0.14539675554163486,0.12522252484332164,normal,-0.14937389745831475,0.0,0.0
2013-03-18,11,0.15814527354162272,0.13295731157297902,normal,-0.17348595229968056,0.0,0.0
2013-03-18,12,0.18912630371386802,0.16684468706964442,normal,-0.12535170334753332,0.0,0.0
2013-03-18,13,0.2133112398375512,0.19464486857815277,normal,-0.09157560765289308,0.0,0.0
2013-03-18,14,0.24536616472292125,0.23020617641920105,normal,-0.06377631811269224,0.0,0.0
2013-03-18,15,0.2620305909113937,0.24924977295907244,normal,-0.05000575820393083,0.0,0.0
2013-03-18,16,0.26475689474885544,0.24230063589227188,normal,-0.08863277441134776,0.0,0.0
2013-03-18,17,0.24641181942167759,0.23809900135573736,normal,-0.03431763967904655,0.0,0.0
2013-03-18,18,0.24242976343052614,0.2291144414475614,normal,-0.0564904100509529,0.0,0.0
2013-03-18,19,0.2429515531135047,0.2161480469322957,normal,-0.11689847819295296,0.0,0.0
2013-03-18,20,0.23938340286466397,0.21922888267057,normal,-0.08795015226805813,0.0,0.0
2013-03-18,21,0.228097566644373,0.2124150775754266,normal,-0.07123118774997961,0.0,0.0
2013-03-18,22,0.2223609823972171,0.2190517716371555,normal,-0.014994006075752742,0.0,0.0
2013-03-18,23,0.22048412538570625,0.21987738461359713,normal,-0.002755650265873877,0.0,0.0
2013-03-18,24,0.23290173809747142,0.2243242506117566,normal,-0.0375240871689706,0.0,0.0
2013-03-18,25,0.23034391670810492,0.22920617599570642,normal,-0.0049515517678806464,0.0,0.0
2013-03-18,26,0.23783333343629112,0.23186830175130355,normal,-0.02540060306314218,0.0,0.0
2013-03-18,27,0.23678349598004764,0.22299363078007997,normal,-0.06000299502283979,0.0,0.0
2013-03-18,28,0.23911149768310128,0.22805186568641167,normal,-0.0473568764832728,0.0,0.0
2013-03-18,29,0.24337088521773978,0.2240709738751443,normal,-0.08262370705410027,0.0,0.0
2013-03-18,30,0.2563550404750236,0.23209545509762725,normal,-0.0994146290770761,0.0,0.0
2013-03-18,31,0.27143883217513787,0.24036272771825845,normal,-0.12158767026384831,0.0,0.0
2013-03-18,32,0.2807928636942863,0.2588554542375178,normal,-0.08134744347323619,0.0,0.0
2013-03-18,33,0.3046309083334265,0.27655181782891636,normal,-0.09670269753223515,0.0,0.0
2013-03-18,34,0.33041506369405577,0.30121636360703796,normal,-0.09252081040724502,0.0,0.0
2013-03-18,35,0.3543375814621899,0.323219999486517,normal,-0.09191687434497497,0.0,0.0
2013-03-18,36,0.3898213213093542,0.36678545499770815,normal,-0.06091139782429311,0.0,0.0
2013-03-18,37,0.405085515939854,0.38267090897657907,normal,-0.0569228209605116,0.0,0.0
2013-03-18,38,0.40748609839835004,0.37832879202823566,normal,-0.07424318001337815,0.0,0.0
2013-03-18,39,0.3993575069285419,0.38338056253322184,normal,-0.040828891346330165,0.0,0.0
2013-03-18,40,0.3863331791602515,0.3690000000438542,normal,-0.04590351144467797,0.0,0.0
2013-03-18,41,0.37668528391535555,0.34639327879402987,normal,-0.08383527466029406,0.0,0.0
2013-03-18,42,0.36054345313705144,0.3361752951419578,normal,-0.06997974955789865,0.0,0.0
2013-03-18,43,0.34222937920012647,0.3234486837796723,normal,-0.056440738494338616,0.0,0.0
2013-03-18,44,0.3127367931199478,0.3017093547705314,normal,-0.03589776767460906,0.0,0.0
2013-03-18,45,0.2750224852800092,0.26966212555211205,normal,-0.019683070462599206,0.0,0.0
2013-03-18,46,0.22952988889479217,0.22885831089886574,normal,-0.002930173493724597,0.0,0.0
2013-03-18,47,0.23314759038464578,0.19204995501405822,normal,-0.19391616760647867,0.0,0.0
2013-03-19,0,0.20831611821369814,0.16657818182741968,normal,-0.22359196534328674,0.0,0.0
2013-03-19,1,0.18823876780810544,0.14322636374695735,normal,-0.27328485658228163,0.0,0.0
2013-03-19,2,0.17179064398163743,0.12806090934667735,normal,-0.2937705442796681,0.0,0.0
2013-03-19,3,0.15644604007336266,0.12060545459474352,normal,-0.26018664657990076,0.0,0.0
2013-03-19,4,0.14670449287711823,0.11576000023442744,normal,-0.2369012266241739,0.0,0.0
2013-03-19,5,0.14135641515282582,0.11311545460188592,normal,-0.2228754487398883,0.0,0.0
2013-03-19,6,0.13504075966121895,0.11246454548715105,normal,-0.18293863553659628,0.0,0.0
2013-03-19,7,0.13235386753540646,0.11046999999480746,normal,-0.18073515943698037,0.0,0.0
2013-03-19,8,0.1338098658169896,0.11340818197064272,normal,-0.16542634042131654,0.0,0.0
2013-03-19,9,0.13552593810602115,0.1139381820048121,normal,-0.1735070089359929,0.0,0.0
2013-03-19,10,0.1467139881720062,0.12298000028071163,normal,-0.17646329002437922,0.0,0.0
2013-03-19,11,0.15740162421219384,0.13190818190680478,normal,-0.17669456600502542,0.0,0.0
2013-03-19,12,0.18432108823121113,0.1564063637580892,normal,-0.16422176524849963,0.0,0.0
2013-03-19,13,0.2152952755906094,0.1842072731774004,normal,-0.1559488524900452,0.0,0.0
2013-03-19,14,0.24977026408062747,0.21746545481453228,normal,-0.13850154222193245,0.0,0.0
2013-03-19,15,0.2674275128431933,0.2397409094594927,normal,-0.10928975329293222,0.0,0.0
2013-03-19,16,0.2674307550894396,0.2507263630718543,normal,-0.06449851586643374,0.0,0.0
2013-03-19,17,0.25282908745803245,0.24360999977808784,normal,-0.0371451318155922,0.0,0.0
2013-03-19,18,0.24545818853848617,0.23085272755812514,normal,-0.061346657111347014,0.0,0.0
2013-03-19,19,0.23452011163978648,0.22689377309689673,normal,-0.033059400102728675,0.0,0.0
2013-03-19,20,0.22862427639171462,0.2230463636563879,normal,-0.024700283038454618,0.0,0.0
2013-03-19,21,0.2242330323087607,0.2170200001326686,normal,-0.032696318097866106,0.0,0.0
2013-03-19,22,0.21961964358621916,0.21866090882156805,normal,-0.004374988981864503,0.0,0.0
2013-03-19,23,0.22315543207002536,0.22364090961732225,normal,0.0021731500151604966,0.0,0.0
2013-03-19,24,0.22789481003727527,0.21719454531219196,normal,-0.048090688929287584,0.0,0.0
2013-03-19,25,0.23114034283353316,0.22741727305353956,normal,-0.01623853344482229,0.0,0.0
2013-03-19,26,0.2277827697513054,0.2224681812404147,normal,-0.02360832481847086,0.0,0.0
2013-03-19,27,0.22238397408259972,0.21486636364472692,normal,-0.03438923036566699,0.0,0.0
2013-03-19,28,0.22107549814485042,0.19857272726917555,high,-0.10734884649114962,1.0,0.0
2013-03-19,29,0.22057642460656307,0.18984363630657422,high,-0.15004346516135447,1.0,0.0
2013-03-19,30,0.22377975923978716,0.1958499998125163,high,-0.1333132913453925,1.0,0.0
2013-03-19,31,0.22578670719506144,0.19391545453034764,high,-0.15216851748017146,1.0,0.0
2013-03-19,32,0.24010097275903486,0.2200118181041696,high,-0.0873782911286487,1.0,0.0
2013-03-19,33,0.2605926353633915,0.2312709090183489,high,-0.11936861430032208,1.0,0.0
2013-03-19,34,0.2880368224818735,0.2750972729629244,normal,-0.045963572815295395,0.0,0.0
2013-03-19,35,0.31097058825844154,0.2903445457877718,normal,-0.06863002950605535,0.0,0.0
2013-03-19,36,0.3533323294432008,0.332748181829864,normal,-0.06002306404772084,0.0,0.0
2013-03-19,37,0.38702037967963643,0.368805454937974,normal,-0.04820806969453295,0.0,0.0
2013-03-19,38,0.3951635016498318,0.38314727284934963,normal,-0.03088016780297287,0.0,0.0
2013-03-19,39,0.3945835069772376,0.3682209094520658,normal,-0.06914774041451144,0.0,0.0
2013-03-19,40,0.38385035926674593,0.3568181820188395,normal,-0.07302642924907043,0.0,0.0
2013-03-19,41,0.3707018074906935,0.3450963631035252,normal,-0.07157429465593268,0.0,0.0
2013-03-19,42,0.3583951816416911,0.33257363518604754,normal,-0.07477494214670322,0.0,0.0
2013-03-19,43,0.3382965712246226,0.3205463632347528,normal,-0.05389601544788625,0.0,0.0
2013-03-19,44,0.3116942321441447,0.3059036361797586,normal,-0.018752544180616892,0.0,0.0
2013-03-19,45,0.27296526147738626,0.2654527270612942,normal,-0.02790776742381751,0.0,0.0
2013-03-19,46,0.23489995371557224,0.23376818233592944,normal,-0.004829744087969434,0.0,0.0
2013-03-19,47,0.24104608610239947,0.1894572727543048,normal,-0.24082461834202085,0.0,0.0
2013-03-20,0,0.21457447319282688,0.16328090904195877,normal,-0.2731847866151811,0.0,0.0
